Model	Precision	Recall	F1-Score	TP	FP	FN	PR AUC
XGBoost on latent	0.1796	0.4253	0.2526	37	169	50	0.3029
XGBoost on raw (baseline)	0.1138	0.3218	0.1682	28	218	59	0.2413
