Model	Precision	Recall	F1-Score	TP	FP	FN	PR AUC
CNN on latent	0.1477	0.4483	0.2222	39	225	48	0.3633
CNN on raw (baseline)	0.2211	0.4828	0.3032	42	148	45	0.3966
