Model	Precision	Recall	F1-Score	TP	FP	FN	PR AUC
XGBoost on latent	0.0826	0.1837	0.1139	9	100	40	0.0809
XGBoost on raw (baseline)	0.0265	0.0612	0.0370	3	110	46	0.0351
