Model	Precision	Recall	F1-Score	TP	FP	FN	PR AUC
CNN on latent	0.1068	0.2245	0.1447	11	92	38	0.1122
CNN on raw (baseline)	0.0667	0.1837	0.0978	9	126	40	0.1035
