Model	Precision	Recall	F1-Score	TP	FP	FN	PR AUC
XGBoost on latent	0.4128	0.5172	0.4592	45	64	42	0.4392
XGBoost on raw (baseline)	0.2566	0.3333	0.2900	29	84	58	0.2576
