Model	Precision	Recall	F1-Score	TP	FP	FN	PR AUC
CNN on latent	0.4078	0.4828	0.4421	42	61	45	0.4074
CNN on raw (baseline)	0.3111	0.4828	0.3784	42	93	45	0.3861
